"","ID","variable","value"
"1",1,"f1","salmon"
"2",1,"f2",NA
"3",1,"f3",NA
"4",1,"f4",NA
"5",1,"f5",NA
"6",1,"f6",NA
"7",2,"f1","CPS"
"8",2,"f2"," salmon"
"9",2,"f3"," squid"
"10",2,"f4",NA
"11",2,"f5",NA
"12",2,"f6",NA
"13",3,"f1","dungeness crab"
"14",3,"f2",NA
"15",3,"f3",NA
"16",3,"f4",NA
"17",3,"f5",NA
"18",3,"f6",NA
"19",4,"f1","salmon"
"20",4,"f2"," sea urchin"
"21",4,"f3"," sea cucumber"
"22",4,"f4",NA
"23",4,"f5",NA
"24",4,"f6",NA
"25",5,"f1","geoduck"
"26",5,"f2"," sea cucumber"
"27",5,"f3",NA
"28",5,"f4",NA
"29",5,"f5",NA
"30",5,"f6",NA
"31",6,"f1","salmon"
"32",6,"f2",NA
"33",6,"f3",NA
"34",6,"f4",NA
"35",6,"f5",NA
"36",6,"f6",NA
"37",7,"f1","dungeness crab"
"38",7,"f2",NA
"39",7,"f3",NA
"40",7,"f4",NA
"41",7,"f5",NA
"42",7,"f6",NA
"43",8,"f1","dungeness crab"
"44",8,"f2"," Purchasing of seafood product"
"45",8,"f3",NA
"46",8,"f4",NA
"47",8,"f5",NA
"48",8,"f6",NA
"49",9,"f1","groundfish"
"50",9,"f2",NA
"51",9,"f3",NA
"52",9,"f4",NA
"53",9,"f5",NA
"54",9,"f6",NA
"55",10,"f1","scallops"
"56",10,"f2"," sea urchin"
"57",10,"f3"," sea cucumber"
"58",10,"f4",NA
"59",10,"f5",NA
"60",10,"f6",NA
"61",11,"f1","hake"
"62",11,"f2",NA
"63",11,"f3",NA
"64",11,"f4",NA
"65",11,"f5",NA
"66",11,"f6",NA
"67",12,"f1","HMS"
"68",12,"f2"," salmon"
"69",12,"f3",NA
"70",12,"f4",NA
"71",12,"f5",NA
"72",12,"f6",NA
"73",13,"f1","HMS"
"74",13,"f2",NA
"75",13,"f3",NA
"76",13,"f4",NA
"77",13,"f5",NA
"78",13,"f6",NA
"79",14,"f1","dungeness crab"
"80",14,"f2"," salmon"
"81",14,"f3"," shrimp"
"82",14,"f4",NA
"83",14,"f5",NA
"84",14,"f6",NA
"85",15,"f1","dungeness crab"
"86",15,"f2"," shrimp"
"87",15,"f3",NA
"88",15,"f4",NA
"89",15,"f5",NA
"90",15,"f6",NA
"91",16,"f1","dungeness crab"
"92",16,"f2"," HMS"
"93",16,"f3"," salmon"
"94",16,"f4",NA
"95",16,"f5",NA
"96",16,"f6",NA
"97",17,"f1","salmon"
"98",17,"f2",NA
"99",17,"f3",NA
"100",17,"f4",NA
"101",17,"f5",NA
"102",17,"f6",NA
"103",18,"f1","salmon"
"104",18,"f2",NA
"105",18,"f3",NA
"106",18,"f4",NA
"107",18,"f5",NA
"108",18,"f6",NA
"109",19,"f1","groundfish"
"110",19,"f2"," HMS"
"111",19,"f3"," salmon"
"112",19,"f4",NA
"113",19,"f5",NA
"114",19,"f6",NA
"115",20,"f1","groundfish"
"116",20,"f2",NA
"117",20,"f3",NA
"118",20,"f4",NA
"119",20,"f5",NA
"120",20,"f6",NA
"121",21,"f1","dungeness crab"
"122",21,"f2"," salmon"
"123",21,"f3",NA
"124",21,"f4",NA
"125",21,"f5",NA
"126",21,"f6",NA
"127",22,"f1","dungeness crab"
"128",22,"f2"," HMS"
"129",22,"f3",NA
"130",22,"f4",NA
"131",22,"f5",NA
"132",22,"f6",NA
"133",23,"f1","dungeness crab"
"134",23,"f2"," salmon"
"135",23,"f3"," salmon enhancement"
"136",23,"f4",NA
"137",23,"f5",NA
"138",23,"f6",NA
"139",24,"f1","salmon"
"140",24,"f2",NA
"141",24,"f3",NA
"142",24,"f4",NA
"143",24,"f5",NA
"144",24,"f6",NA
"145",25,"f1","salmon"
"146",25,"f2",NA
"147",25,"f3",NA
"148",25,"f4",NA
"149",25,"f5",NA
"150",25,"f6",NA
"151",26,"f1","dungeness crab"
"152",26,"f2"," salmon"
"153",26,"f3"," shrimp"
"154",26,"f4",NA
"155",26,"f5",NA
"156",26,"f6",NA
"157",27,"f1","groundfish"
"158",27,"f2"," HMS"
"159",27,"f3"," salmon"
"160",27,"f4",NA
"161",27,"f5",NA
"162",27,"f6",NA
"163",28,"f1","dungeness crab"
"164",28,"f2"," groundfish"
"165",28,"f3"," HMS"
"166",28,"f4"," salmon"
"167",28,"f5"," shrimp"
"168",28,"f6"," squid"
"169",29,"f1","razor clams"
"170",29,"f2",NA
"171",29,"f3",NA
"172",29,"f4",NA
"173",29,"f5",NA
"174",29,"f6",NA
"175",30,"f1","salmon"
"176",30,"f2",NA
"177",30,"f3",NA
"178",30,"f4",NA
"179",30,"f5",NA
"180",30,"f6",NA
"181",31,"f1","sea urchin"
"182",31,"f2"," sea cucumber"
"183",31,"f3",NA
"184",31,"f4",NA
"185",31,"f5",NA
"186",31,"f6",NA
"187",32,"f1","salmon"
"188",32,"f2",NA
"189",32,"f3",NA
"190",32,"f4",NA
"191",32,"f5",NA
"192",32,"f6",NA
"193",33,"f1","salmon"
"194",33,"f2",NA
"195",33,"f3",NA
"196",33,"f4",NA
"197",33,"f5",NA
"198",33,"f6",NA
"199",34,"f1","salmon"
"200",34,"f2",NA
"201",34,"f3",NA
"202",34,"f4",NA
"203",34,"f5",NA
"204",34,"f6",NA
"205",35,"f1","HMS"
"206",35,"f2"," salmon"
"207",35,"f3",NA
"208",35,"f4",NA
"209",35,"f5",NA
"210",35,"f6",NA
"211",36,"f1","salmon"
"212",36,"f2",NA
"213",36,"f3",NA
"214",36,"f4",NA
"215",36,"f5",NA
"216",36,"f6",NA
"217",37,"f1","HMS"
"218",37,"f2"," salmon"
"219",37,"f3",NA
"220",37,"f4",NA
"221",37,"f5",NA
"222",37,"f6",NA
"223",38,"f1","salmon"
"224",38,"f2",NA
"225",38,"f3",NA
"226",38,"f4",NA
"227",38,"f5",NA
"228",38,"f6",NA
"229",39,"f1","HMS"
"230",39,"f2"," salmon"
"231",39,"f3",NA
"232",39,"f4",NA
"233",39,"f5",NA
"234",39,"f6",NA
"235",40,"f1","sea urchin"
"236",40,"f2"," geoduck"
"237",40,"f3"," sea cucumber"
"238",40,"f4",NA
"239",40,"f5",NA
"240",40,"f6",NA
"241",41,"f1","dungeness crab"
"242",41,"f2"," salmon"
"243",41,"f3",NA
"244",41,"f4",NA
"245",41,"f5",NA
"246",41,"f6",NA
"247",42,"f1","HMS"
"248",42,"f2",NA
"249",42,"f3",NA
"250",42,"f4",NA
"251",42,"f5",NA
"252",42,"f6",NA
"253",43,"f1","dungeness crab"
"254",43,"f2"," salmon"
"255",43,"f3",NA
"256",43,"f4",NA
"257",43,"f5",NA
"258",43,"f6",NA
"259",44,"f1","salmon"
"260",44,"f2"," halibut"
"261",44,"f3",NA
"262",44,"f4",NA
"263",44,"f5",NA
"264",44,"f6",NA
"265",45,"f1","CPS"
"266",45,"f2"," dungeness crab"
"267",45,"f3"," groundfish"
"268",45,"f4"," HMS"
"269",45,"f5"," shrimp"
"270",45,"f6"," squid"
"271",46,"f1","salmon"
"272",46,"f2",NA
"273",46,"f3",NA
"274",46,"f4",NA
"275",46,"f5",NA
"276",46,"f6",NA
"277",47,"f1","dungeness crab"
"278",47,"f2"," salmon"
"279",47,"f3",NA
"280",47,"f4",NA
"281",47,"f5",NA
"282",47,"f6",NA
"283",48,"f1","salmon"
"284",48,"f2",NA
"285",48,"f3",NA
"286",48,"f4",NA
"287",48,"f5",NA
"288",48,"f6",NA
"289",49,"f1","groundfish"
"290",49,"f2"," HMS"
"291",49,"f3"," salmon"
"292",49,"f4",NA
"293",49,"f5",NA
"294",49,"f6",NA
"295",50,"f1","dungeness crab"
"296",50,"f2"," groundfish"
"297",50,"f3"," hake"
"298",50,"f4",NA
"299",50,"f5",NA
"300",50,"f6",NA
"301",51,"f1","dungeness crab"
"302",51,"f2"," HMS"
"303",51,"f3"," salmon"
"304",51,"f4",NA
"305",51,"f5",NA
"306",51,"f6",NA
"307",52,"f1","groundfish"
"308",52,"f2"," HMS"
"309",52,"f3"," salmon"
"310",52,"f4",NA
"311",52,"f5",NA
"312",52,"f6",NA
"313",53,"f1","dungeness crab"
"314",53,"f2"," groundfish"
"315",53,"f3",NA
"316",53,"f4",NA
"317",53,"f5",NA
"318",53,"f6",NA
"319",54,"f1","HMS"
"320",54,"f2",NA
"321",54,"f3",NA
"322",54,"f4",NA
"323",54,"f5",NA
"324",54,"f6",NA
"325",55,"f1","dungeness crab"
"326",55,"f2"," HMS"
"327",55,"f3"," salmon"
"328",55,"f4",NA
"329",55,"f5",NA
"330",55,"f6",NA
"331",56,"f1","dungeness crab"
"332",56,"f2"," HMS"
"333",56,"f3"," salmon"
"334",56,"f4",NA
"335",56,"f5",NA
"336",56,"f6",NA
"337",57,"f1","groundfish"
"338",57,"f2"," salmon"
"339",57,"f3"," california halibut"
"340",57,"f4",NA
"341",57,"f5",NA
"342",57,"f6",NA
"343",58,"f1","HMS"
"344",58,"f2"," salmon"
"345",58,"f3",NA
"346",58,"f4",NA
"347",58,"f5",NA
"348",58,"f6",NA
"349",59,"f1","salmon"
"350",59,"f2",NA
"351",59,"f3",NA
"352",59,"f4",NA
"353",59,"f5",NA
"354",59,"f6",NA
"355",60,"f1","dungeness crab"
"356",60,"f2"," groundfish"
"357",60,"f3"," HMS"
"358",60,"f4"," salmon"
"359",60,"f5"," razor clams"
"360",60,"f6",NA
"361",61,"f1","dungeness crab"
"362",61,"f2"," salmon"
"363",61,"f3"," shrimp"
"364",61,"f4",NA
"365",61,"f5",NA
"366",61,"f6",NA
"367",62,"f1","salmon"
"368",62,"f2"," sea urchin"
"369",62,"f3"," sea cucumber"
"370",62,"f4",NA
"371",62,"f5",NA
"372",62,"f6",NA
"373",63,"f1","dungeness crab"
"374",63,"f2"," salmon"
"375",63,"f3",NA
"376",63,"f4",NA
"377",63,"f5",NA
"378",63,"f6",NA
"379",64,"f1","HMS"
"380",64,"f2"," salmon"
"381",64,"f3",NA
"382",64,"f4",NA
"383",64,"f5",NA
"384",64,"f6",NA
"385",65,"f1","HMS"
"386",65,"f2"," salmon"
"387",65,"f3",NA
"388",65,"f4",NA
"389",65,"f5",NA
"390",65,"f6",NA
"391",66,"f1","dungeness crab"
"392",66,"f2"," salmon"
"393",66,"f3"," shrimp"
"394",66,"f4"," geoduck"
"395",66,"f5"," oysters"
"396",66,"f6",NA
"397",67,"f1","salmon"
"398",67,"f2",NA
"399",67,"f3",NA
"400",67,"f4",NA
"401",67,"f5",NA
"402",67,"f6",NA
"403",68,"f1","dungeness crab"
"404",68,"f2"," groundfish"
"405",68,"f3"," HMS"
"406",68,"f4"," salmon"
"407",68,"f5"," halibut"
"408",68,"f6",NA
"409",69,"f1","salmon"
"410",69,"f2"," smelt"
"411",69,"f3"," white sturgeon"
"412",69,"f4",NA
"413",69,"f5",NA
"414",69,"f6",NA
"415",70,"f1","salmon"
"416",70,"f2",NA
"417",70,"f3",NA
"418",70,"f4",NA
"419",70,"f5",NA
"420",70,"f6",NA
"421",71,"f1","salmon"
"422",71,"f2",NA
"423",71,"f3",NA
"424",71,"f4",NA
"425",71,"f5",NA
"426",71,"f6",NA
"427",72,"f1","HMS"
"428",72,"f2",NA
"429",72,"f3",NA
"430",72,"f4",NA
"431",72,"f5",NA
"432",72,"f6",NA
"433",73,"f1","dungeness crab"
"434",73,"f2"," groundfish"
"435",73,"f3"," HMS"
"436",73,"f4"," salmon"
"437",73,"f5",NA
"438",73,"f6",NA
"439",74,"f1","HMS"
"440",74,"f2",NA
"441",74,"f3",NA
"442",74,"f4",NA
"443",74,"f5",NA
"444",74,"f6",NA
"445",75,"f1","dungeness crab"
"446",75,"f2"," salmon"
"447",75,"f3"," razor clams"
"448",75,"f4",NA
"449",75,"f5",NA
"450",75,"f6",NA
"451",76,"f1","dungeness crab"
"452",76,"f2"," salmon"
"453",76,"f3",NA
"454",76,"f4",NA
"455",76,"f5",NA
"456",76,"f6",NA
"457",77,"f1","geoduck"
"458",77,"f2",NA
"459",77,"f3",NA
"460",77,"f4",NA
"461",77,"f5",NA
"462",77,"f6",NA
"463",78,"f1","HMS"
"464",78,"f2",NA
"465",78,"f3",NA
"466",78,"f4",NA
"467",78,"f5",NA
"468",78,"f6",NA
"469",79,"f1","salmon"
"470",79,"f2",NA
"471",79,"f3",NA
"472",79,"f4",NA
"473",79,"f5",NA
"474",79,"f6",NA
"475",80,"f1","salmon"
"476",80,"f2",NA
"477",80,"f3",NA
"478",80,"f4",NA
"479",80,"f5",NA
"480",80,"f6",NA
"481",81,"f1","salmon"
"482",81,"f2",NA
"483",81,"f3",NA
"484",81,"f4",NA
"485",81,"f5",NA
"486",81,"f6",NA
"487",82,"f1","salmon"
"488",82,"f2",NA
"489",82,"f3",NA
"490",82,"f4",NA
"491",82,"f5",NA
"492",82,"f6",NA
"493",83,"f1","dungeness crab"
"494",83,"f2",NA
"495",83,"f3",NA
"496",83,"f4",NA
"497",83,"f5",NA
"498",83,"f6",NA
"499",84,"f1","razor clams"
"500",84,"f2",NA
"501",84,"f3",NA
"502",84,"f4",NA
"503",84,"f5",NA
"504",84,"f6",NA
"505",85,"f1","groundfish"
"506",85,"f2"," HMS"
"507",85,"f3",NA
"508",85,"f4",NA
"509",85,"f5",NA
"510",85,"f6",NA
"511",86,"f1","dungeness crab"
"512",86,"f2"," salmon"
"513",86,"f3",NA
"514",86,"f4",NA
"515",86,"f5",NA
"516",86,"f6",NA
"517",87,"f1","HMS"
"518",87,"f2"," salmon"
"519",87,"f3",NA
"520",87,"f4",NA
"521",87,"f5",NA
"522",87,"f6",NA
"523",88,"f1","salmon"
"524",88,"f2",NA
"525",88,"f3",NA
"526",88,"f4",NA
"527",88,"f5",NA
"528",88,"f6",NA
"529",89,"f1","dungeness crab"
"530",89,"f2"," groundfish"
"531",89,"f3"," HMS"
"532",89,"f4"," salmon"
"533",89,"f5",NA
"534",89,"f6",NA
"535",90,"f1","CPS"
"536",90,"f2"," salmon"
"537",90,"f3"," squid"
"538",90,"f4",NA
"539",90,"f5",NA
"540",90,"f6",NA
"541",91,"f1","dungeness crab"
"542",91,"f2"," salmon"
"543",91,"f3",NA
"544",91,"f4",NA
"545",91,"f5",NA
"546",91,"f6",NA
"547",92,"f1","salmon"
"548",92,"f2",NA
"549",92,"f3",NA
"550",92,"f4",NA
"551",92,"f5",NA
"552",92,"f6",NA
"553",93,"f1","salmon"
"554",93,"f2",NA
"555",93,"f3",NA
"556",93,"f4",NA
"557",93,"f5",NA
"558",93,"f6",NA
"559",94,"f1","HMS"
"560",94,"f2",NA
"561",94,"f3",NA
"562",94,"f4",NA
"563",94,"f5",NA
"564",94,"f6",NA
"565",95,"f1","salmon"
"566",95,"f2"," smelt"
"567",95,"f3",NA
"568",95,"f4",NA
"569",95,"f5",NA
"570",95,"f6",NA
"571",96,"f1","dungeness crab"
"572",96,"f2"," groundfish"
"573",96,"f3"," HMS"
"574",96,"f4"," salmon"
"575",96,"f5",NA
"576",96,"f6",NA
"577",97,"f1","dungeness crab"
"578",97,"f2"," salmon"
"579",97,"f3"," halibut"
"580",97,"f4",NA
"581",97,"f5",NA
"582",97,"f6",NA
"583",98,"f1","salmon"
"584",98,"f2",NA
"585",98,"f3",NA
"586",98,"f4",NA
"587",98,"f5",NA
"588",98,"f6",NA
"589",99,"f1","dungeness crab"
"590",99,"f2"," groundfish"
"591",99,"f3"," HMS"
"592",99,"f4",NA
"593",99,"f5",NA
"594",99,"f6",NA
"595",100,"f1","salmon"
"596",100,"f2",NA
"597",100,"f3",NA
"598",100,"f4",NA
"599",100,"f5",NA
"600",100,"f6",NA
"601",101,"f1","salmon"
"602",101,"f2",NA
"603",101,"f3",NA
"604",101,"f4",NA
"605",101,"f5",NA
"606",101,"f6",NA
"607",102,"f1","salmon"
"608",102,"f2",NA
"609",102,"f3",NA
"610",102,"f4",NA
"611",102,"f5",NA
"612",102,"f6",NA
"613",103,"f1","dungeness crab"
"614",103,"f2"," salmon"
"615",103,"f3"," razor clams"
"616",103,"f4",NA
"617",103,"f5",NA
"618",103,"f6",NA
"619",104,"f1","HMS"
"620",104,"f2",NA
"621",104,"f3",NA
"622",104,"f4",NA
"623",104,"f5",NA
"624",104,"f6",NA
"625",105,"f1","dungeness crab"
"626",105,"f2"," salmon"
"627",105,"f3"," halibut"
"628",105,"f4",NA
"629",105,"f5",NA
"630",105,"f6",NA
"631",106,"f1","dungeness crab"
"632",106,"f2"," HMS"
"633",106,"f3"," salmon"
"634",106,"f4",NA
"635",106,"f5",NA
"636",106,"f6",NA
"637",107,"f1","groundfish"
"638",107,"f2"," HMS"
"639",107,"f3"," salmon"
"640",107,"f4",NA
"641",107,"f5",NA
"642",107,"f6",NA
"643",108,"f1","groundfish"
"644",108,"f2"," salmon"
"645",108,"f3"," sea urchin"
"646",108,"f4"," sea cucumber"
"647",108,"f5"," geoduck"
"648",108,"f6",NA
"649",109,"f1","salmon"
"650",109,"f2",NA
"651",109,"f3",NA
"652",109,"f4",NA
"653",109,"f5",NA
"654",109,"f6",NA
"655",110,"f1","HMS"
"656",110,"f2"," salmon"
"657",110,"f3",NA
"658",110,"f4",NA
"659",110,"f5",NA
"660",110,"f6",NA
"661",111,"f1","salmon"
"662",111,"f2",NA
"663",111,"f3",NA
"664",111,"f4",NA
"665",111,"f5",NA
"666",111,"f6",NA
"667",112,"f1","sea urchin"
"668",112,"f2"," geoduck"
"669",112,"f3",NA
"670",112,"f4",NA
"671",112,"f5",NA
"672",112,"f6",NA
"673",113,"f1","dungeness crab"
"674",113,"f2",NA
"675",113,"f3",NA
"676",113,"f4",NA
"677",113,"f5",NA
"678",113,"f6",NA
"679",114,"f1","dungeness crab"
"680",114,"f2"," salmon"
"681",114,"f3"," squid"
"682",114,"f4",NA
"683",114,"f5",NA
"684",114,"f6",NA
"685",115,"f1","dungeness crab"
"686",115,"f2"," shrimp"
"687",115,"f3",NA
"688",115,"f4",NA
"689",115,"f5",NA
"690",115,"f6",NA
"691",116,"f1","CPS"
"692",116,"f2",NA
"693",116,"f3",NA
"694",116,"f4",NA
"695",116,"f5",NA
"696",116,"f6",NA
"697",117,"f1","salmon"
"698",117,"f2",NA
"699",117,"f3",NA
"700",117,"f4",NA
"701",117,"f5",NA
"702",117,"f6",NA
"703",118,"f1","groundfish"
"704",118,"f2"," hake"
"705",118,"f3",NA
"706",118,"f4",NA
"707",118,"f5",NA
"708",118,"f6",NA
"709",119,"f1","salmon"
"710",119,"f2",NA
"711",119,"f3",NA
"712",119,"f4",NA
"713",119,"f5",NA
"714",119,"f6",NA
"715",120,"f1","dungeness crab"
"716",120,"f2"," groundfish"
"717",120,"f3"," salmon"
"718",120,"f4",NA
"719",120,"f5",NA
"720",120,"f6",NA
"721",121,"f1","salmon"
"722",121,"f2",NA
"723",121,"f3",NA
"724",121,"f4",NA
"725",121,"f5",NA
"726",121,"f6",NA
"727",122,"f1","dungeness crab"
"728",122,"f2"," groundfish"
"729",122,"f3"," HMS"
"730",122,"f4"," halibut"
"731",122,"f5",NA
"732",122,"f6",NA
"733",123,"f1","groundfish"
"734",123,"f2"," salmon"
"735",123,"f3",NA
"736",123,"f4",NA
"737",123,"f5",NA
"738",123,"f6",NA
"739",124,"f1","groundfish"
"740",124,"f2",NA
"741",124,"f3",NA
"742",124,"f4",NA
"743",124,"f5",NA
"744",124,"f6",NA
"745",125,"f1","salmon"
"746",125,"f2",NA
"747",125,"f3",NA
"748",125,"f4",NA
"749",125,"f5",NA
"750",125,"f6",NA
"751",126,"f1","dungeness crab"
"752",126,"f2"," salmon"
"753",126,"f3"," scallops"
"754",126,"f4"," sea urchin"
"755",126,"f5"," shrimp"
"756",126,"f6"," sea cucumber"
"757",127,"f1","groundfish"
"758",127,"f2"," HMS"
"759",127,"f3"," salmon"
"760",127,"f4",NA
"761",127,"f5",NA
"762",127,"f6",NA
"763",128,"f1","CPS"
"764",128,"f2"," groundfish"
"765",128,"f3"," salmon"
"766",128,"f4",NA
"767",128,"f5",NA
"768",128,"f6",NA
"769",129,"f1","dungeness crab"
"770",129,"f2"," HMS"
"771",129,"f3",NA
"772",129,"f4",NA
"773",129,"f5",NA
"774",129,"f6",NA
"775",130,"f1","dungeness crab"
"776",130,"f2"," groundfish"
"777",130,"f3"," HMS"
"778",130,"f4"," salmon"
"779",130,"f5"," slime eel"
"780",130,"f6"," black cod"
"781",131,"f1","dungeness crab"
"782",131,"f2"," salmon"
"783",131,"f3",NA
"784",131,"f4",NA
"785",131,"f5",NA
"786",131,"f6",NA
"787",132,"f1","dungeness crab"
"788",132,"f2"," salmon"
"789",132,"f3",NA
"790",132,"f4",NA
"791",132,"f5",NA
"792",132,"f6",NA
"793",133,"f1","dungeness crab"
"794",133,"f2"," HMS"
"795",133,"f3"," salmon"
"796",133,"f4",NA
"797",133,"f5",NA
"798",133,"f6",NA
"799",134,"f1","dungeness crab"
"800",134,"f2"," groundfish"
"801",134,"f3"," HMS"
"802",134,"f4"," salmon"
"803",134,"f5",NA
"804",134,"f6",NA
"805",135,"f1","dungeness crab"
"806",135,"f2"," HMS"
"807",135,"f3"," salmon"
"808",135,"f4",NA
"809",135,"f5",NA
"810",135,"f6",NA
"811",136,"f1","dungeness crab"
"812",136,"f2"," groundfish"
"813",136,"f3"," salmon"
"814",136,"f4"," albacore"
"815",136,"f5",NA
"816",136,"f6",NA
"817",137,"f1","HMS"
"818",137,"f2",NA
"819",137,"f3",NA
"820",137,"f4",NA
"821",137,"f5",NA
"822",137,"f6",NA
"823",138,"f1","dungeness crab"
"824",138,"f2"," groundfish"
"825",138,"f3"," HMS"
"826",138,"f4"," salmon"
"827",138,"f5",NA
"828",138,"f6",NA
"829",139,"f1","HMS"
"830",139,"f2"," salmon"
"831",139,"f3"," white sea bass"
"832",139,"f4"," yellow tail"
"833",139,"f5",NA
"834",139,"f6",NA
"835",140,"f1","dungeness crab"
"836",140,"f2"," groundfish"
"837",140,"f3"," salmon"
"838",140,"f4",NA
"839",140,"f5",NA
"840",140,"f6",NA
"841",141,"f1","dungeness crab"
"842",141,"f2"," salmon"
"843",141,"f3",NA
"844",141,"f4",NA
"845",141,"f5",NA
"846",141,"f6",NA
"847",142,"f1","dungeness crab"
"848",142,"f2"," HMS"
"849",142,"f3"," sablefish"
"850",142,"f4",NA
"851",142,"f5",NA
"852",142,"f6",NA
"853",143,"f1","dungeness crab"
"854",143,"f2"," salmon"
"855",143,"f3",NA
"856",143,"f4",NA
"857",143,"f5",NA
"858",143,"f6",NA
"859",144,"f1","dungeness crab"
"860",144,"f2"," salmon"
"861",144,"f3"," California halibut"
"862",144,"f4",NA
"863",144,"f5",NA
"864",144,"f6",NA
"865",145,"f1","CPS"
"866",145,"f2",NA
"867",145,"f3",NA
"868",145,"f4",NA
"869",145,"f5",NA
"870",145,"f6",NA
"871",146,"f1","dungeness crab"
"872",146,"f2"," groundfish"
"873",146,"f3"," HMS"
"874",146,"f4"," salmon"
"875",146,"f5",NA
"876",146,"f6",NA
"877",147,"f1","groundfish"
"878",147,"f2"," sea urchin"
"879",147,"f3",NA
"880",147,"f4",NA
"881",147,"f5",NA
"882",147,"f6",NA
"883",148,"f1","HMS"
"884",148,"f2"," shrimp"
"885",148,"f3"," halibut"
"886",148,"f4",NA
"887",148,"f5",NA
"888",148,"f6",NA
"889",149,"f1","sea urchin"
"890",149,"f2",NA
"891",149,"f3",NA
"892",149,"f4",NA
"893",149,"f5",NA
"894",149,"f6",NA
"895",150,"f1","dungeness crab"
"896",150,"f2"," groundfish"
"897",150,"f3"," HMS"
"898",150,"f4"," salmon"
"899",150,"f5",NA
"900",150,"f6",NA
"901",151,"f1","groundfish"
"902",151,"f2"," salmon"
"903",151,"f3"," sea urchin"
"904",151,"f4",NA
"905",151,"f5",NA
"906",151,"f6",NA
"907",152,"f1","dungeness crab"
"908",152,"f2"," salmon"
"909",152,"f3",NA
"910",152,"f4",NA
"911",152,"f5",NA
"912",152,"f6",NA
"913",153,"f1","dungeness crab"
"914",153,"f2"," salmon"
"915",153,"f3",NA
"916",153,"f4",NA
"917",153,"f5",NA
"918",153,"f6",NA
"919",154,"f1","HMS"
"920",154,"f2"," sea urchin"
"921",154,"f3"," halibut"
"922",154,"f4"," white sea bass"
"923",154,"f5",NA
"924",154,"f6",NA
"925",155,"f1","dungeness crab"
"926",155,"f2"," shrimp"
"927",155,"f3",NA
"928",155,"f4",NA
"929",155,"f5",NA
"930",155,"f6",NA
"931",156,"f1","CPS"
"932",156,"f2"," salmon"
"933",156,"f3",NA
"934",156,"f4",NA
"935",156,"f5",NA
"936",156,"f6",NA
"937",157,"f1","groundfish"
"938",157,"f2"," sea urchin"
"939",157,"f3"," sea cucumber"
"940",157,"f4",NA
"941",157,"f5",NA
"942",157,"f6",NA
"943",158,"f1","sea urchin"
"944",158,"f2"," sea cucumber"
"945",158,"f3",NA
"946",158,"f4",NA
"947",158,"f5",NA
"948",158,"f6",NA
"949",159,"f1","groundfish"
"950",159,"f2"," sea urchin"
"951",159,"f3",NA
"952",159,"f4",NA
"953",159,"f5",NA
"954",159,"f6",NA
"955",160,"f1","sea urchin"
"956",160,"f2"," sea cucumber"
"957",160,"f3",NA
"958",160,"f4",NA
"959",160,"f5",NA
"960",160,"f6",NA
"961",161,"f1","dungeness crab"
"962",161,"f2"," groundfish"
"963",161,"f3"," HMS"
"964",161,"f4"," salmon"
"965",161,"f5"," sea urchin"
"966",161,"f6",NA
"967",162,"f1","crawfish"
"968",162,"f2",NA
"969",162,"f3",NA
"970",162,"f4",NA
"971",162,"f5",NA
"972",162,"f6",NA
